chinese,english
看淡得失成败,Take gains and losses lightly
接纳不完美的自己,Accept your imperfections
做最好的自己,Be the best version of yourself
不必讨好任何人,No need to please anyone
做好自己就够了,Just be yourself
真心换真心,Sincerity for sincerity
真心待人无愧于心,Treat others sincerely with a clear conscience
朋友贵在真心,True friends value sincerity
珍惜身边有缘人,Cherish destined people around you
陪伴是最长情的告白,Companionship is the longest confession
友情来之不易,Friendship is hard to come by
亲情无可替代,Family love is irreplaceable
家人永远是后盾,Family is always your backing
常回家看看,Go home often
多陪伴家人,Spend more time with family
感恩身边每一个人,Be grateful to everyone around you
心怀感恩温暖前行,Move forward with gratitude
善良自带光芒,Kindness shines by itself
温柔对待世界,Treat the world gently
保持初心不变,Stay true to your original heart
坚守本心不忘初衷,Stick to your original intention
热爱生活热爱自己,Love life and love yourself
眼里有光心中有爱,"Eyes with light, heart with love"
生活处处有美好,Beauty is everywhere in life
用心发现生活美好,Discover life's beauty with heart
用心感受生活点滴,Feel every bit of life with heart
平凡日子也有温柔,Ordinary days also have tenderness
人间烟火皆是温柔,Everyday life is full of warmth
三餐四季温暖相伴,Three meals and four seasons with warm company
简单日子安稳幸福,Simple days are peaceful and happy
清晨给自己一个微笑,Give yourself a smile in the morning
每天给自己一点鼓励,Encourage yourself a little every day
保持热爱奔赴山海,Keep passion and chase dreams
不负时光不负自己,Live up to time and yourself
余生安好岁月静好,May the rest of life be peaceful
平安喜乐万事顺遂,"Peace and joy, all go well"
心想事成万事如意,May all your wishes come true
岁岁平安年年有余,"Peace year after year, surplus every year"
好运常在福气满满,Good luck and full of blessings
生活明朗万物可爱,Life is bright and all things lovely
人间值得未来可期,The world is worthwhile and future is promising
清风不语温柔自愈,Quiet breeze heals gently
日子平淡却也温柔,Days are plain but gentle
慢下来感受生活,Slow down and feel life
不慌不忙慢慢生活,Live slowly without hurry
好好生活慢慢相遇,Live well and meet slowly
往事清零爱恨随意,"Clear the past, let love and hate go"
往事不回头余生不将就,"Don't look back, don't settle for less"
做个温柔且坚定的人,Be a gentle and firm person
做个安静且优秀的人,Be a quiet and excellent person
低调做人高调做事,"Live low-key, work high-profile"
低调内敛沉稳行事,Be low-key and steady
待人友善处事大方,Be friendly and generous
心胸宽广格局大气,Broad mind and great pattern
不与人争不与世抢,Don't compete with others or the world
看淡世事内心安然,See through the world and stay calm inside
守住本心安静度日,Keep your heart and live quietly
独处也是一种享受,Being alone is also a kind of enjoyment
学会和自己相处,Learn to get along with yourself
享受一个人的时光,Enjoy your alone time
安静沉淀慢慢成长,Settle quietly and grow slowly
在自己的世界里安好,Live well in your own world
不必迎合不必将就,No need to cater or settle
忠于自己热爱生活,Be loyal to yourself and love life
太阳依旧每天升起,The sun still rises every day
每一天都是新开始,Every day is a new start
放下烦恼迎接美好,Let go of troubles and welcome beauty
把烦恼留给昨天,Leave troubles to yesterday
把希望留给明天,Leave hope for tomorrow
珍惜今天把握当下,Cherish today and seize the moment
认真过好每一天,Live every day seriously
生活难免有不如意,Life inevitably has disappointments
接纳生活所有不完美,Accept all imperfections of life
允许一切顺其自然,Let everything take its course
人生起落皆是常态,Ups and downs are normal in life
看淡世事冷暖自知,Understand life's ups and downs by yourself
冷暖自知不必多言,Know your own joys and sorrows without more words
沉默是最好的回应,Silence is the best response
懂你的人无需多言,Those who understand you need no words
三观不同不必同行,No need to walk together with different values
圈子不同不必强融,No need to force into different circles
远离消耗自己的人,Stay away from people who drain you
靠近温暖正能量的人,Stay close to warm and positive people
和舒服的人相处一生,Stay with comfortable people all life
真诚永远是必杀技,Sincerity is always the best tactic
套路永远赢不过真心,Tricks can never beat sincerity
日久见人心患难见真情,"Time reveals hearts, hardship shows true feelings"
人情薄凉守住本心就好,Keep your heart amid indifferent worldly ways
知足常乐安稳度日,Be content and live peacefully
平平淡淡才是真,Plain and simple is the truth
细水长流才是生活,Steady and slow is real life
简单安稳便是幸福,Simplicity and peace are happiness
无灾无难便是圆满,No disaster no trouble is perfection
平安健康就是福气,Peace and health are blessings
三餐四季有人相伴,Have company through three meals and four seasons
有人懂你何其幸运,How lucky to be understood
一生所求不过安稳,All life seeks is peace
一生所盼不过心安,All life hopes for is peace of mind
心若简单世界就简单,"If the heart is simple, the world is simple"
心若向阳何惧悲伤,"If the heart faces the sun, fear no sorrow"
心里装着美好满眼温柔,Keep beauty in heart and eyes full of tenderness
保持善良自带福气,Stay kind and blessed naturally
温柔半两从容一生,"Half tenderness, a lifetime of calm"
一半烟火一半诗意,"Half mortal life, half poetic life"
一半清醒一半释然,"Half sober, half relieved"
生活一半是回忆一半是继续,Life is half memory and half moving on
人生一半选择一半坚持,Life is half choice and half persistence
凡事看淡心就不累,Take things lightly and the heart won't be tired
少胡思乱想多顺其自然,Think less and let nature take its course
放下执念才能解脱,Let go of obsession to be free
释怀过往放过自己,Let go of the past and forgive yourself
和生活握手言和,Reconcile with life
与自己和解温柔前行,Reconcile with yourself and move forward gently
生活没有标准答案,Life has no standard answer
每个人都有自己节奏,Everyone has their own pace
不必模仿别人生活,No need to imitate others' lives
按自己节奏好好生活,Live well at your own pace
适合自己就是最好,What suits you is the best
不攀比不羡慕不嫉妒,"Don't compare, envy or be jealous"
过好自己的小日子,Live your own small life well
别人再好与我无关,"No matter how good others are, it's none of my business"
自己再平凡也是唯一,"Ordinary as you are, you are unique"
接纳平凡活出自我,Accept ordinariness and live your true self
平凡的人也有光芒,Ordinary people also shine
认真生活自带光芒,Live earnestly and shine naturally
努力活成自己喜欢模样,Strive to live as you like
不辜负时光不辜负自己,Don't waste time or yourself
余生做个快乐的普通人,Be a happy ordinary person for the rest of life
简简单单开开心心,Simple and happy
安安稳稳无忧无虑,Peaceful and carefree
岁月安然时光静好,Time is quiet and peaceful
清风明月人间皆安,"Gentle wind and bright moon, all peaceful"
山河无恙人间皆安,"Mountains and rivers safe, world peaceful"
愿日子清透世事温柔,May days be clear and world gentle
愿所求皆如愿所行化坦途,May all wishes come true and paths be smooth
愿余生岁月温柔以待,May the rest of life treat you gently
愿你眼里有笑心中有暖,May your eyes have smiles and heart have warmth
愿你一生被温柔以待,May you be treated gently all your life
愿生活温柔且从容,May life be gentle and calm
愿所有美好如期而至,May all beauty come as scheduled
愿所有遗憾都能圆满,May all regrets be fulfilled
愿未来前路光明坦荡,May the future path be bright and smooth
愿往后余生平安喜乐,May the rest of life be peaceful and joyful
今天天气很舒服,The weather is very comfortable today
外面微风很惬意,The breeze outside is pleasant
雨后空气格外清新,The air is especially fresh after rain
清晨空气让人舒心,Morning air is relaxing
傍晚晚风很温柔,The evening breeze is very gentle
月色温柔夜色很美,The moon is gentle and night is beautiful
星空静谧让人安心,The starry sky is quiet and reassuring
散步放松心情很好,Walking relaxes the mood well
出门走走心情舒畅,Going out for a walk feels comfortable
在家静静待着也很好,Staying quietly at home is also nice
泡一杯茶安静发呆,Make a cup of tea and daze quietly
听一首老歌治愈心情,Listen to an old song to heal the mood
看看风景放空自己,Enjoy scenery and empty your mind
享受片刻的安静时光,Enjoy a moment of quiet time
吃一顿美食治愈所有不开心,A delicious meal heals all unhappiness
美食可以治愈坏心情,Delicious food can heal bad moods
简单的食物也有幸福感,Simple food also brings happiness
一杯热饮温暖整个身心,A hot drink warms body and soul
吃饱喝足心情舒畅,"Full and satisfied, mood is comfortable"
好好吃饭好好生活,Eat well and live well
不辜负美食不辜负生活,Don't waste delicious food or life
闲暇时光做点喜欢的事,Do what you like in spare time
培养一个爱好丰富生活,Cultivate a hobby to enrich life
看书静心沉淀自己,Read books to calm and settle yourself
听听音乐舒缓压力,Listen to music to relieve pressure
偶尔追剧放松一下,Watch dramas occasionally to relax
写写心事梳理情绪,Write down thoughts to sort out emotions
拍照记录生活美好瞬间,Take photos to record beautiful life moments
记录生活留住温柔时光,Record life and keep gentle time
生活需要一点仪式感,Life needs a little sense of ritual
仪式感让生活更温柔,Ritual makes life gentler
用心对待生活的每一天,Treat every day of life with heart
认真对待三餐和四季,Take three meals and four seasons seriously
把日子过成自己喜欢样子,Live life as you like
生活琐碎也藏着温柔,Life trivialities also hide tenderness
烟火人间温暖日常点滴,Ordinary life is full of warm little moments
知足于当下安稳于日常,Be content with the present and peaceful with daily life
不追过往不忧未来,"Don't chase the past, don't worry about the future"
活在当下珍惜眼前人,Live in the moment and cherish people around
感恩遇见不负相逢,Be grateful for meeting and live up to fate
相逢即是缘分好好珍惜,"Meeting is fate, cherish it well"
缘起缘落皆是天意,Fate comes and goes by destiny
顺其自然随遇而安就好,Just let it be and settle wherever you are
不强求不挽留不纠结,"Don't force, retain or struggle"
看淡缘分随缘就好,Take fate lightly and let it be
人生聚散离合皆是常态,Gathering and parting are normal in life
有缘相聚无缘各自安好,"Meet if destined, live well apart if not"
珍惜每一次相遇相逢,Cherish every encounter
善待每一个路过的人,Be kind to every passer-by in life
做人留一线日后好相见,Leave leeway for others for future meeting
得饶人处且饶人,Forgive others when you can
退一步海阔天空,Take a step back and broaden your horizon
忍一时风平浪静,Endure a moment and calm comes
少计较多包容生活更轻松,"Less calculation more tolerance, easier life"
心胸开阔少些烦恼忧愁,Broad mind means less troubles and sorrows
心态放宽万事皆顺,Relax your mind and everything goes well
心宽一寸路宽一丈,A broader mind makes a wider road
不生气不计较不纠结,"Don't be angry, calculating or tangled"
放过别人也是放过自己,Forgiving others is forgiving yourself
原谅生活所有的不完美,Forgive all imperfections in life
与生活温柔和解相处,Reconcile and live gently with life
保持乐观笑对人生起落,Stay optimistic and smile at life's ups and downs
笑着面对生活所有风雨,Face all life's storms with a smile
风雨人生微笑前行,Smile and move forward through life's storms
无论好坏都是经历,"Good or bad, it's all experience"
所有经历都是成长养分,All experiences nourish growth
熬过低谷便是晴天,Getting through the low point brings sunshine
低谷时默默沉淀努力,Settle and work hard silently in low times
高光时低调沉稳内敛,Be low-key and steady in good times
得意时不忘形失意时不气馁,"Not complacent in success, not discouraged in failure"
顺境不飘逆境不馁,"Don't drift in good times, don't lose heart in bad times"
沉稳做事低调做人,Work steadily and live low-key
踏实走好人生每一步,Take every step of life steadily
脚踏实地方能行稳致远,Down-to-earth makes a long and steady journey
不忘初心方得始终,Stay true to the beginning to reach the end
坚守本心方得心安,Stick to your heart to gain peace of mind
保持初心奔赴前路,Keep original heart and head forward
心怀善意一路向阳,Keep kindness in heart and face the sun all the way
心怀温暖一路温柔前行,Keep warmth in heart and move forward gently
眼里有光心中有梦,"Eyes with light, heart with dreams"
心怀梦想不惧远方,Have dreams and fear no distance
以梦为马不负韶华,"Take dreams as horse, live up to youth"
不负流年不负此生,Live up to time and this life
此生足矣安稳就好,"This life is enough, peace is fine"
简单度日安稳一生,Live simply and peacefully all life
平凡一生温暖安稳,"Ordinary life, warm and peaceful"
烟火人间岁岁年年,Ordinary world year after year
平安顺遂喜乐无忧,"Peaceful, smooth, joyful and carefree"
万事顺意岁岁安然,"All goes well, peaceful every year"
福暖四季顺遂安康,"Blessings warm four seasons, smooth and healthy"
吉吉利利平平安安,"Lucky, auspicious and safe"
喜乐常伴岁岁无忧,"Joy always accompanies, no worries year after year"
清风常伴万事胜意,"Gentle wind always stays, all things better than expected"
